         ps       /top/SCLK                    
          delta        /top/LAT                
                           /top/SDO            
                        /top/led/i_state       
          0  +0           x   x   x    x 
       5770  +2           1   0   0    2 
       5790  +2           0   0   0    2 
       5810  +2           1   0   0    2 
       5830  +2           0   0   0    2 
       5850  +2           1   0   0    2 
       5870  +2           0   0   0    2 
       5890  +2           1   0   0    2 
       5910  +2           0   0   0    2 
       5930  +2           1   0   0    2 
       5950  +2           0   0   0    2 
       5970  +2           1   0   0    2 
       5990  +2           0   0   0    2 
       6010  +2           1   0   0    2 
       6030  +2           0   0   0    2 
       6050  +2           1   0   0    2 
       6070  +2           0   0   0    2 
       6090  +2           1   0   0    2 
       6110  +2           0   0   0    2 
       6130  +2           1   0   0    2 
       6150  +2           0   0   0    2 
       6170  +2           1   0   0    2 
       6190  +2           0   0   0    2 
       6210  +2           1   0   0    2 
       6230  +2           0   0   0    2 
       6250  +2           1   0   0    2 
       6270  +2           0   0   0    2 
       6290  +2           1   0   0    2 
       6310  +2           0   0   0    2 
       6330  +2           1   0   0    2 
       6350  +2           0   0   0    2 
       6370  +2           1   0   0    2 
       6390  +2           0   0   0    2 
       6410  +2           1   0   0    2 
       6430  +2           0   0   0    2 
       6450  +2           1   0   0    2 
       6470  +2           0   0   0    2 
       6490  +2           1   0   0    2 
       6510  +2           0   0   0    2 
       6530  +2           1   0   0    2 
       6550  +2           0   0   0    2 
       6570  +2           1   0   0    2 
       6590  +2           0   0   0    2 
       6610  +2           1   0   0    2 
       6630  +2           0   0   0    2 
       6650  +2           1   0   0    2 
       6670  +2           0   0   0    2 
       6690  +2           1   0   0    2 
       6710  +2           0   0   0    2 
       6730  +2           1   0   0    2 
       6750  +2           0   0   0    2 
       6770  +2           1   0   0    2 
       6790  +2           0   0   0    2 
       6810  +2           1   0   0    2 
       6830  +2           0   0   0    2 
       6850  +2           1   0   0    2 
       6870  +2           0   0   0    2 
       6890  +2           1   0   0    2 
       6910  +2           0   0   0    2 
       6930  +2           1   0   0    2 
       6950  +2           0   0   0    2 
       6970  +2           1   0   0    2 
       6990  +2           0   0   0    2 
       7010  +2           1   0   0    2 
       7030  +2           0   0   0    2 
       7050  +2           1   0   0    2 
       7070  +2           0   0   0    2 
       7090  +2           1   0   0    2 
       7110  +2           0   0   0    2 
       7130  +2           1   0   0    2 
       7150  +2           0   0   0    2 
       7170  +2           1   0   0    2 
       7190  +2           0   0   0    2 
       7210  +2           1   0   0    2 
       7230  +2           0   0   0    2 
       7250  +2           1   0   0    2 
       7270  +2           0   0   0    2 
       7290  +2           1   0   0    2 
       7310  +2           0   0   0    2 
       7330  +2           1   0   0    2 
       7350  +2           0   0   0    2 
       7370  +2           1   0   0    2 
       7390  +2           0   0   0    2 
       7410  +2           1   0   0    2 
       7430  +2           0   0   0    2 
       7450  +2           1   0   0    2 
       7470  +2           0   0   0    2 
       7490  +2           1   0   0    2 
       7510  +2           0   0   0    2 
       7530  +2           1   0   0    2 
       7550  +2           0   0   0    2 
       7570  +2           1   0   0    2 
       7590  +2           0   0   0    2 
       7610  +2           1   0   0    2 
       7630  +2           0   0   0    2 
       7650  +2           1   0   0    2 
       7670  +2           0   0   0    2 
       7690  +2           1   0   0    2 
       7710  +2           0   0   0    2 
       7730  +2           1   0   0    2 
       7750  +2           0   0   0    2 
       7770  +2           1   0   0    2 
       7790  +2           0   0   0    2 
       7810  +2           1   0   0    2 
       7830  +2           0   0   0    2 
       7850  +2           1   0   0    2 
       7870  +2           0   0   0    2 
       7890  +2           1   0   0    2 
       7910  +2           0   0   0    2 
       7930  +2           1   0   0    2 
       7950  +2           0   0   0    2 
       7970  +2           1   0   0    2 
       7990  +2           0   0   0    2 
       8010  +2           1   0   0    2 
       8030  +2           0   0   0    2 
       8050  +2           1   0   0    2 
       8070  +2           0   0   0    2 
       8090  +2           1   0   0    2 
       8110  +2           0   0   0    2 
       8130  +2           1   0   0    2 
       8150  +2           0   0   0    2 
       8170  +2           1   0   0    2 
       8190  +2           0   0   0    2 
       8210  +2           1   0   0    2 
       8230  +2           0   0   0    2 
       8250  +2           1   0   0    2 
       8270  +2           0   0   0    2 
       8290  +2           1   0   0    2 
       8310  +2           0   0   0    2 
       8330  +2           1   0   0    2 
       8350  +2           0   0   0    2 
       8370  +2           1   0   0    2 
       8390  +2           0   0   0    2 
       8410  +2           1   0   0    2 
       8430  +2           0   0   0    2 
       8450  +2           1   0   0    2 
       8470  +2           0   0   0    2 
       8490  +2           1   0   0    2 
       8510  +2           0   0   0    2 
       8530  +2           1   0   0    2 
       8550  +2           0   0   0    2 
       8570  +2           1   0   0    2 
       8590  +2           0   0   0    2 
       8610  +2           1   0   0    2 
       8630  +2           0   0   0    2 
       8650  +2           1   0   0    2 
       8670  +2           0   0   0    2 
       8690  +2           1   0   0    2 
       8710  +2           0   0   0    2 
       8730  +2           1   0   0    2 
       8750  +2           0   0   0    2 
       8770  +2           1   0   0    2 
       8790  +2           0   0   0    2 
       8810  +2           1   0   0    2 
       8830  +2           0   0   0    2 
       8850  +2           1   0   0    2 
       8870  +2           0   0   0    2 
       8890  +2           1   0   0    2 
       8910  +2           0   0   0    2 
       8930  +2           1   0   0    2 
       8950  +2           0   0   0    2 
       8970  +2           1   0   0    2 
       8990  +2           0   0   0    2 
       9010  +2           1   0   0    2 
       9030  +2           0   0   0    2 
